Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.8107999563,0.1482000053,1.8049000502,1.8729000092,1.9004000425,1.8806999922,2.0262999535,1.8316999674,1.7890000343,1.738499999,1.8028000593,1.9932999611,2.0399999619,1.8293999434,1.6632000208,1.6556999683,1.7882000208,1.8529000282,1.50849998,1.4803999662,1.8092999458,1.9553999901,2.0401000977,1.818500042,1.6611000299,1.6576000452,1.8681000471
B1,1.3367999792,0.2142000049,1.567999959,1.424399972,1.4472999573,1.6730999947,1.9822000265,1.5894999504,1.3293999434,1.1802999973,1.1926000118,1.4090000391,1.336400032,1.1204999685,1.1351000071,1.1622999907,1.3250999451,1.307700038,1.1229000092,1.0867999792,1.2157000303,1.4070999622,1.5410000086,1.2944999933,1.0857000351,1.1613999605,1.3229999542
C1,1.4524999857,0.1024999991,1.4789999723,1.4880000353,1.545699954,1.6119999886,1.8141000271,1.5233000517,1.3582999706,1.412700057,1.3708000183,1.4276000261,1.3404999971,1.4292000532,1.3953000307,1.4091999531,1.3961999416,1.4269000292,1.4089000225,1.4773999453,1.4912999868,1.2973999977,1.3596999645,1.4666999578,1.4321000576,1.4414000511,1.5075999498
D1,1.4174000025,0.1511999965,1.6897000074,1.5881999731,1.3897000551,1.5315999985,1.7423000336,1.654399991,1.3066999912,1.3105000257,1.3609000444,1.4865000248,1.4113999605,1.318500042,1.2170000076,1.2574000359,1.5561000109,1.4786000252,1.2238999605,1.2797000408,1.3366999626,1.4052000046,1.4436000586,1.2948999405,1.2917000055,1.2811000347,1.5791000128
E1,1.5310000181,0.1218999997,1.6324000359,1.5506999493,1.605700016,1.6950999498,1.8072999716,1.7433999777,1.5645999908,1.6184999943,1.5802999735,1.5784000158,1.5183999538,1.421399951,1.4208999872,1.4479000568,1.5779999495,1.4516999722,1.3585000038,1.3566999435,1.3901000023,1.5219999552,1.6585999727,1.5274000168,1.4148000479,1.3816000223,1.4507000446
F1,1.1437000036,0.1854999959,1.5278999805,1.3825000525,1.189800024,1.2897000313,1.4962999821,1.2926000357,1.0306999683,1.0299999714,1.233199954,1.288599968,1.2400000095,1.0950000286,1.0154999495,0.9132999778,1.1847000122,1.2309000492,1.0530999899,0.9819999933,0.9057000279,1.0176000595,0.9316999912,0.8235999942,0.9936000109,1.1316000223,1.3138999939
G1,1.4176000357,0.2975000143,1.9951000214,1.9911999702,1.7495000362,1.9687999487,1.9572999477,1.6802999973,1.3916000128,1.4703999758,1.2965999842,1.4083000422,1.1868000031,1.1754000187,1.5206999779,1.3144999743,1.2773000002,1.3946000338,1.2269999981,1.1631000042,1.0896999836,1.0960999727,1.2379000187,1.17900002,1.2266999483,1.2194999456,1.2216999531
H1,1.7730000019,0.1221000031,2.0020000935,1.8711999655,1.9204000235,2.0418999195,1.956799984,1.8729000092,1.8388999701,1.6998000145,1.6754000187,1.8000999689,1.7583999634,1.6447999477,1.6354000568,1.6713000536,1.8380000591,1.7506999969,1.6234999895,1.6510000229,1.6503000259,1.7460999489,1.8120000362,1.6847000122,1.6504000425,1.6934000254,1.8349000216
A2,0.9171000123,0.3488000035,1.6360000372,1.5015000105,1.386500001,1.3918999434,1.5118000507,1.3322999477,1.0676000118,1.0074000359,0.7074999809,1.1424000263,0.6413999796,0.5838000178,0.6265000105,0.7247999907,0.7366999984,0.7075999975,0.6079000235,0.6352999806,0.6847000122,0.7585999966,0.6499999762,0.6686999798,0.6096000075,0.6140000224,0.9934999943
B2,1.7574000359,0.1861999929,2.1414000988,2.0518000126,1.9205000401,1.9888999462,2.2341001034,1.8517999649,1.7085000277,1.6076999903,1.5981999636,1.779399991,1.5887999535,1.4972000122,1.5398000479,1.6000000238,1.7051999569,1.7233999968,1.6892999411,1.6617000103,1.6161999702,1.6100000143,1.7644000053,1.7290999889,1.8044999838,1.7457000017,1.7768000364
C2,1.5328999758,0.202000007,1.659700036,1.7568999529,1.7867000103,1.8844000101,1.9136999846,1.8286999464,1.5743999481,1.4900000095,1.4670000076,1.5759999752,1.4376000166,1.2730000019,1.2460000515,1.2971999645,1.7470999956,1.5887000561,1.3250000477,1.1916999817,1.3852000237,1.4751000404,1.5846999884,1.475399971,1.3833999634,1.4578000307,1.5181000233
D2,1.7186000347,0.1115000024,1.8005000353,1.8005000353,1.8597999811,1.8545999527,1.7486000061,1.8593000174,1.815500021,1.7251000404,1.6631000042,1.7111999989,1.6370999813,1.5630999804,1.6427999735,1.7810000181,1.8059999943,1.8561999798,1.7546000481,1.6173000336,1.4693000317,1.5636999607,1.6190999746,1.627300024,1.6030999422,1.7383999825,1.8467999697
E2,1.7266000509,0.1687999964,1.8529000282,1.8716000319,2.0241000652,1.8840999603,1.9269000292,1.8404999971,1.8208999634,1.7364000082,1.8470000029,1.8551000357,1.9177000523,1.4953999519,1.5728000402,1.8420000076,1.891800046,1.7271000147,1.6548000574,1.4486000538,1.505300045,1.5527000427,1.4845000505,1.5750000477,1.6517000198,1.5626000166,1.6232000589
F2,1.9552999735,0.1816000044,1.9586000443,2.008300066,2.2339000702,2.2344999313,2.0139000416,2.2067000866,2.0562000275,1.9785000086,1.9253000021,1.4701999426,1.8674000502,1.8861000538,1.6816999912,1.8839000463,2.214400053,2.2216000557,1.9086999893,1.8345999718,2.0432999134,1.9443999529,1.8878999949,1.7960000038,1.7957999706,1.8598999977,1.9710999727
G2,0.8568999767,0.2725000083,1.1625000238,1.0062999725,0.9600999951,1.1539000273,1.3497999907,1.3452999592,0.9011999965,0.6827999949,0.5967000127,0.6129999757,0.4415000081,0.4977999926,0.8998000026,0.9283999801,1.1332000494,0.772300005,0.8650000095,0.9218999743,0.5626999736,0.4970999956,0.5559999943,0.5882999897,0.7603999972,1.0428999662,1.1843999624
H2,1.8644000292,0.1457999945,2.0578999519,2.0601000786,2.0597000122,2.094399929,2.1436998844,2.0113999844,1.8775999546,1.8156000376,1.8216999769,1.9034999609,1.6721999645,1.7360999584,1.5558999777,1.7761000395,1.8374999762,1.9040000439,1.9408999681,1.6776000261,1.7460999489,1.8187999725,1.8144999743,1.7805999517,1.8438999653,1.7598999739,1.8995000124
