Time (hrs),Bacillus safensis,Bacillus safensis (std),Microbacterium arborescens,Microbacterium arborescens (std),Empty,Empty (std)
14.2504444444,0.112999998,0.0306000002,0.3400000036,0.1829999983,0.140200004,0.1067999974
14.5004444444,0.112999998,0.0300999992,0.3350000083,0.176699996,0.1403000057,0.1068999991
14.7504722222,0.1130999997,0.0304000005,0.3605000079,0.1894000024,0.139500007,0.1050999984
15.0004722222,0.1133999974,0.0307999998,0.3583999872,0.1899999976,0.1403000057,0.1071000025
15.2504722222,0.113499999,0.0308999997,0.3725000024,0.1985999942,0.1398999989,0.1055999994
15.5005,0.1137000024,0.0315999985,0.3813999891,0.197300002,0.1405999959,0.1079000011
15.7505,0.1138999984,0.0313999988,0.3874000013,0.2108999938,0.1401000023,0.1062999964
16.0005,0.1142000034,0.0318000019,0.397300005,0.215200007,0.1403000057,0.1067000031
16.2505,0.1138999984,0.0318000019,0.4217000008,0.2273000032,0.140200004,0.1063999981
16.5005277778,0.1138999984,0.0322000012,0.4275999963,0.2293000072,0.1404000074,0.1068999991
16.7505277778,0.1138999984,0.0324999988,0.4406999946,0.239199996,0.1393000036,0.1035000011
17.0005277778,0.1137999967,0.0313999988,0.4550000131,0.2465000004,0.1400000006,0.1045000032
17.2505555556,0.1137999967,0.0324999988,0.4783000052,0.2563000023,0.1388999969,0.1022000015
17.5005555556,0.1140000001,0.0322999991,0.4727999866,0.2556000054,0.1386000067,0.1002999991
17.7505555556,0.1142000034,0.0324000008,0.4846000075,0.264200002,0.1388999969,0.1014000028
18.0005555556,0.1146000028,0.0333999991,0.5303000212,0.307099998,0.1391000003,0.1023999974
18.2505833333,0.114699997,0.0326999985,0.5127000213,0.293900013,0.1391000003,0.1017000005
18.5005833333,0.1146000028,0.0305000003,0.5382999778,0.3010999858,0.1379999965,0.0980999991
18.7505833333,0.1150999963,0.0308999997,0.5501999855,0.3138000071,0.1380999982,0.0984999985
19.0006111111,0.1158000007,0.0315999985,0.5626000166,0.3158999979,0.1381999999,0.0988000035
19.2506111111,0.1160999984,0.0310999993,0.5485000014,0.3257000148,0.1376000047,0.0970999971
19.5006111111,0.1167000011,0.0318000019,0.5715000033,0.3364000022,0.1369999945,0.0956000015
19.7506111111,0.1169999987,0.0315000005,0.5974000096,0.3594999909,0.136500001,0.0939999968
20.0006388889,0.1177000031,0.0307999998,0.6115000248,0.3662999868,0.1367000043,0.0938000008
20.2506388889,0.1181000024,0.0307999998,0.6158000231,0.3815999925,0.1363999993,0.0927999988
20.5006388889,0.1182999983,0.0300999992,0.6274999976,0.388500005,0.1360000074,0.0910999998
20.7506666667,0.1186999977,0.0299999993,0.6340000033,0.3855000138,0.1353999972,0.0894000009
21.0006666667,0.1190000027,0.0299999993,0.6434999704,0.3867999911,0.1342000067,0.0857999995
21.2506666667,0.1194999963,0.0298999995,0.647300005,0.3829999864,0.134800002,0.0872000009
21.5006666667,0.1203000024,0.0295000002,0.6449000239,0.3758000135,0.1343999952,0.0846000016
21.7506944444,0.1213999987,0.0294000003,0.6432999969,0.3720999956,0.1347000003,0.0842000023
22.0006944444,0.1225999966,0.0300999992,0.6441000104,0.3720000088,0.1349000037,0.0828000009
22.2506944444,0.1231999993,0.0295000002,0.6463999748,0.3725999892,0.1328999996,0.0780000016
22.5007222222,0.1242000014,0.0295000002,0.6495000124,0.3743000031,0.1333000064,0.0772999972
22.7507222222,0.1247999966,0.0296999998,0.6518999934,0.3745999932,0.1328999996,0.0766000003
23.0007222222,0.1262000054,0.0304000005,0.6554999948,0.3741999865,0.1330000013,0.0753000006
23.2507222222,0.1268000007,0.0287999995,0.6589000225,0.3732999861,0.132100001,0.0746000037
23.50075,0.1278000027,0.0280000009,0.6583999991,0.3718000054,0.132100001,0.0746000037
23.75075,0.1295000017,0.0296,0.6599000096,0.3711000085,0.133100003,0.0755999982
24.00075,0.1307000071,0.0294000003,0.6617000103,0.3675000072,0.1325999945,0.0759000033
24.25075,0.132100001,0.0289999992,0.6650000215,0.3653999865,0.1332000047,0.0763000026
24.5007777778,0.1333999932,0.0284000002,0.6699000001,0.3650000095,0.131400004,0.0744000003
24.7507777778,0.1350000054,0.0285,0.6737999916,0.3659000099,0.1318999976,0.0762000009
25.0007777778,0.1360000074,0.0282000005,0.6808999777,0.3659999967,0.1316000074,0.0754999965
25.2508055556,0.1380999982,0.0281000007,0.6873999834,0.3668000102,0.131400004,0.0754000023
25.5008055556,0.1391000003,0.0273000002,0.6919999719,0.3684000075,0.1312000006,0.0754999965
25.7508055556,0.1400000006,0.0266999993,0.6981999874,0.3686999977,0.1316000074,0.0758000016
26.0008333333,0.1414999962,0.0274,0.700699985,0.3686999977,0.1318999976,0.0769999996
26.2508333333,0.1422999948,0.0272000004,0.7063999772,0.3707000017,0.1316999942,0.077200003
26.5008333333,0.1430000067,0.0261000004,0.7135999799,0.3716000021,0.1316000074,0.077200003
26.7508333333,0.1445000023,0.0270000007,0.7157999873,0.3707999885,0.1318999976,0.0785000026
27.0008611111,0.1459999979,0.0275999997,0.722299993,0.3731999993,0.1316999942,0.0778999999
27.2508611111,0.1474999934,0.0286999997,0.7240999937,0.3716999888,0.1322000027,0.0797000006
27.5008611111,0.1488000005,0.0274,0.7254999876,0.3725000024,0.1319999993,0.0785000026
27.7508611111,0.1506000012,0.0278999992,0.7315000296,0.3729000092,0.1328999996,0.0813999996
28.0008888889,0.1524000019,0.0281000007,0.7358000278,0.3716999888,0.1316999942,0.0782999992
28.2508888889,0.1544999927,0.0285999998,0.7358000278,0.3720000088,0.1325999945,0.0810000002
28.5008888889,0.1565999985,0.0284000002,0.7427999973,0.3745999932,0.1330000013,0.0819000006
28.7509166667,0.1583999991,0.0277999993,0.7465999722,0.3734999895,0.1322000027,0.0794999972
29.0009166667,0.1608999968,0.0287999995,0.7509999871,0.3740999997,0.1325999945,0.0810000002
29.2509166667,0.1629000008,0.0277999993,0.7545999885,0.3754000068,0.1322000027,0.0798999965
29.5009166667,0.1656000018,0.0285,0.7598999739,0.3768000007,0.132100001,0.0794999972
29.7509444444,0.1676999927,0.0262000002,0.7598000169,0.3747999966,0.1324000061,0.0804999992
30.0009444444,0.170599997,0.0267999992,0.7637000084,0.3738999963,0.132100001,0.079400003
30.2509444444,0.1738000065,0.0278999992,0.7634999752,0.3736000061,0.1334999949,0.0828000009
30.5009444444,0.1761000007,0.0270000007,0.7670999765,0.3756999969,0.1333999932,0.0829000026
30.7509722222,0.1777999997,0.0251000002,0.7725999951,0.3761000037,0.1316000074,0.0781000033
31.0009722222,0.1806000024,0.0259000007,0.771600008,0.375,0.1334999949,0.0832000002
31.2509722222,0.1833000034,0.0269000009,0.7759000063,0.3754999936,0.1332000047,0.0829000026
31.501,0.1850000024,0.0262000002,0.7796999812,0.3772000074,0.1327999979,0.0812000036
31.751,0.1865999997,0.0240000002,0.7839000225,0.3774000108,0.1324999928,0.0800999999
32.001,0.1886000037,0.0244999994,0.78549999,0.3759999871,0.1324999928,0.0807999969
32.251,0.191200003,0.0250000004,0.7890999913,0.3790000081,0.132100001,0.0797000006
32.5010277778,0.1931000054,0.0249000005,0.7922999859,0.3824999928,0.1315000057,0.077200003
32.7510277778,0.1949999928,0.0242999997,0.7947999835,0.3837000132,0.1316000074,0.0785999969
33.0010277778,0.1976999938,0.0254999995,0.7960000038,0.3856000006,0.1312000006,0.0768000036
33.2510555556,0.1996999979,0.0247000009,0.795599997,0.3844000101,0.1309999973,0.0762000009
33.5010555556,0.2022999972,0.0252,0.7950000167,0.3826000094,0.1316999942,0.0778999999
33.7510555556,0.2050999999,0.0260000005,0.7953000069,0.3822000027,0.131400004,0.077200003
34.0010833333,0.2081999928,0.0266999993,0.7960000038,0.3855000138,0.1305000037,0.0744000003
34.2510833333,0.210800007,0.0252,0.7971000075,0.3876999915,0.1301999986,0.0734999999
34.5010833333,0.2134999931,0.0261000004,0.8030999899,0.3889000118,0.1294,0.0709000006
34.7510833333,0.2158000022,0.0241,0.801699996,0.3896000087,0.1283999979,0.0676999986
35.0011111111,0.2176000029,0.0255999994,0.8003000021,0.3903999925,0.1273999959,0.065200001
35.2511111111,0.2196999937,0.0245999992,0.8055999875,0.393599987,0.1282999963,0.0658999979
35.5011111111,0.2225999981,0.0252,0.8036999702,0.3910999894,0.1278000027,0.064000003
35.7511111111,0.2255000025,0.0240000002,0.8058999777,0.3941000104,0.1272000074,0.0627999976
36.0011388889,0.2274000049,0.0244999994,0.7987999916,0.3957000077,0.1292999983,0.0643000007
36.2511388889,0.2301999927,0.0263999999,0.7965000272,0.3950999975,0.1300999969,0.0658000037
36.5011388889,0.2325000018,0.0255999994,0.7978000045,0.3964000046,0.1288000047,0.0631000027
36.7511666667,0.2345999926,0.0253999997,0.8029000163,0.3971000016,0.1299999952,0.0653999969
37.0011666667,0.236499995,0.0250000004,0.8127999902,0.4025999904,0.1280999929,0.0621000007
37.2511666667,0.2377000004,0.0240000002,0.8083999753,0.4004000127,0.1275999993,0.061999999
37.5011666667,0.2389999926,0.0231999997,0.8169000149,0.404700011,0.1275999993,0.0612000003
37.7511944444,0.240899995,0.0232999995,0.8223999739,0.4034000039,0.1269000024,0.0603
38.0011944444,0.2425000072,0.0238000005,0.8219000101,0.4052000046,0.1272000074,0.0606000014
38.2511944444,0.2442999929,0.023,0.8289999962,0.4061000049,0.1272999942,0.059700001
38.5012222222,0.2460000068,0.0245999992,0.8332999945,0.4077000022,0.1274999976,0.0621999986
38.7512222222,0.2466000021,0.0237000007,0.8356000185,0.4052999914,0.1271000057,0.061999999
39.0012222222,0.2470999956,0.0222999994,0.8460999727,0.4099000096,0.1262000054,0.0599000007
39.2512222222,0.2486999929,0.0231999997,0.8514999747,0.4131000042,0.1273999959,0.063500002
39.50125,0.2495999932,0.0230999999,0.8521999717,0.4106000066,0.126000002,0.0603
39.75125,0.2511999905,0.0230999999,0.8582000136,0.4154999852,0.1261000037,0.0612999983
40.00125,0.2515000105,0.0228000004,0.861199975,0.4131000042,0.1259000003,0.0615000017
40.25125,0.2529000044,0.0233999994,0.8661999702,0.4162999988,0.1263000071,0.0623000003
40.5012777778,0.2540000081,0.023,0.8708000183,0.4189999998,0.1273999959,0.0640999973
40.7512777778,0.2545999885,0.023,0.8730000257,0.4183000028,0.126699999,0.063500002
41.0012777778,0.2558999956,0.0241999999,0.8751000166,0.4205000103,0.1279000044,0.0669
41.2513055556,0.2569999993,0.0240000002,0.8791999817,0.4223999977,0.1281999946,0.0680000037
41.5013055556,0.2579999864,0.0239000004,0.8838000298,0.4221000075,0.1275999993,0.0662999973
41.7513055556,0.2590000033,0.0244999994,0.8859999776,0.4235000014,0.1290999949,0.0700000003
42.0013333333,0.2590999901,0.0233999994,0.8924999833,0.421600014,0.1280000061,0.0671999976
42.2513333333,0.2601000071,0.0232999995,0.8946999907,0.4241999984,0.1278000027,0.0665000007
42.5013333333,0.260800004,0.0240000002,0.8982999921,0.4264000058,0.1282999963,0.0681999996
42.7513333333,0.261500001,0.0233999994,0.9014000297,0.4277000129,0.1283999979,0.0687000006
43.0013611111,0.2630000114,0.0244999994,0.9039999843,0.4309000075,0.1298000067,0.0724000037
43.2513611111,0.2630999982,0.0239000004,0.9071999788,0.4296000004,0.1288000047,0.0694999993
