Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.9625999928,0.0716999993,1.8828999996,1.8379000425,1.8468999863,1.9012000561,1.8802000284,1.9200999737,2.0457999706,1.9208999872,1.8837000132,1.912899971,1.9766000509,2.0123000145,2.0176000595,2.0065999031,1.9045000076,2.1122999191,1.9222999811,1.9570000172,1.9961999655,2.0225000381,2.0230000019,2.035200119,2.0404000282,1.9887000322,2.0164999962
B1,0.9451000094,0.2090000063,1.2799999714,0.980700016,0.8303999901,1.002300024,1.706799984,0.8815000057,0.6784999967,0.7585999966,0.608099997,0.8932999969,0.7484999895,0.9406999946,0.8087000251,0.9194999933,0.9325000048,0.935199976,0.9584000111,1.0332000256,1.027099967,0.8517000079,1.0024000406,0.8931999803,0.888199985,0.9808999896,1.0879000425
C1,0.8464000225,0.1872999966,0.9980000257,0.7258999944,0.7900000215,0.9757999778,1.2754000425,0.9293000102,0.6621000171,0.6151000261,0.6367999911,0.7167000175,0.9825000167,0.6926000118,0.6549999714,0.6916000247,0.9460999966,1.0628000498,0.7803000212,0.7505000234,0.7659999728,0.8489000201,0.9126999974,0.7520999908,0.7332000136,0.9312999845,1.3286999464
D1,1.1060999632,0.1372999996,1.3992999792,1.1685999632,1.0671000481,1.3414000273,0.845600009,0.8404999971,1.1916999817,1.0519000292,0.9653000236,1.1049000025,1.1363999844,1.2506999969,1.0326999426,1.2075999975,1.1730999947,0.9538000226,1.0908999443,1.0471999645,1.1289000511,1.2976000309,1.1976000071,1.0068999529,1.0048999786,1.0592000484,1.0875999928
E1,2.0144999027,0.0555999987,1.9664000273,1.9493000507,2.0778999329,2.0360000134,2.008300066,2.1159000397,2.0255999565,2.035900116,1.9356000423,2.0724999905,2.0406999588,1.983199954,1.9312000275,2.0383999348,2.1224000454,2.0274999142,1.9431999922,1.9349000454,1.9902000427,2.084800005,2.0132000446,2.0195000172,1.9555000067,2.0072999001,2.0467998981
F1,0.9427000284,0.1465000063,1.0686000586,0.820299983,0.8659999967,1.0213999748,1.3926000595,1.0523999929,0.909799993,0.8913000226,0.8465999961,0.6870999932,0.757700026,0.831099987,0.8334000111,1.0012999773,0.9391999841,0.861899972,0.9498000145,0.9433000088,0.7997999787,0.9304999709,1.0720000267,0.9566000104,1.1008000374,0.8805999756,1.1528999805
G1,1.4658999443,0.0953999981,1.4039000273,1.3638000488,1.4141999483,1.574000001,1.6608999968,1.557700038,1.4835000038,1.3817000389,1.3387000561,1.4438999891,1.4545999765,1.3959000111,1.2994999886,1.6266000271,1.5557999611,1.453799963,1.4372999668,1.4136999846,1.4979000092,1.534700036,1.4250999689,1.388800025,1.4495999813,1.4390000105,1.6519999504
H1,1.6492999792,0.1543000042,1.9062999487,1.8978999853,1.9163999557,1.9632999897,1.8854999542,1.6924999952,1.6829999685,1.6936999559,1.6881999969,1.622699976,1.548699975,1.5552999973,1.4983999729,1.5267000198,1.4947999716,1.4845999479,1.4616999626,1.5508999825,1.5845999718,1.5025999546,1.5213999748,1.658100009,1.6368000507,1.5422999859,1.7157000303
A2,1.1590000391,0.1247999966,1.3272000551,1.0742000341,1.2641999722,1.2280999422,1.3576999903,1.206099987,1.1756999493,1.0411000252,0.9524000287,1.0800000429,0.9914000034,1.0068999529,1.0370999575,1.2661999464,1.1890000105,1.3159999847,1.2869000435,1.0693000555,1.0334000587,1.0428999662,1.1337000132,1.1998000145,1.122699976,1.1763000488,1.3980000019
B2,1.774799943,0.1906999946,2.0232000351,2.0413999557,2.043900013,2.0046000481,1.9909000397,1.9299999475,1.7702000141,1.6038999557,1.6526999474,1.8163000345,1.7365000248,1.540899992,1.4840999842,1.5052000284,1.836400032,1.7858999968,1.5427999496,1.5010999441,1.4563000202,1.8123999834,1.9392000437,1.8373999596,1.8301000595,1.7864999771,1.8980000019
C2,1.7948000431,0.0908000022,1.8273999691,1.763800025,1.8246999979,1.8518999815,1.9305000305,1.8517999649,1.8538000584,1.8265999556,1.8157000542,1.798699975,1.7407000065,1.7899999619,1.6957000494,1.7544000149,1.8301000595,1.8545000553,1.7416000366,1.5834000111,1.600900054,1.7743999958,1.7585999966,1.693500042,1.8140000105,1.9136999846,1.9793000221
D2,0.784799993,0.5383999944,0.8970999718,0.3316999972,0.2267999947,0.9873999953,1.6397000551,1.0831999779,0.3161000013,0.1737000048,0.7408999801,1.7194000483,0.2312999964,0.3567000031,0.1815000027,0.4465000033,1.0160000324,1.3916000128,1.0983999968,0.2524999976,1.1298999786,0.2551999986,1.070299983,0.2259999961,0.5988000035,1.4136999846,1.8353999853
E2,1.2828999758,0.2626999915,1.5463000536,1.4580999613,1.4585000277,1.5712000132,1.7275999784,1.5730999708,1.439800024,1.2646000385,1.1274000406,1.0405999422,0.8173000216,0.8946999907,1.1403000355,1.2973999977,1.4858000278,1.5127999783,1.3945000172,1.2095999718,1.0726000071,0.8668000102,0.9628000259,0.9797000289,1.2070000172,1.3891999722,1.6351000071
F2,1.9230999947,0.1297000051,2.1721999645,2.1758000851,2.051500082,1.8887000084,1.782400012,1.8530000448,1.8763999939,1.8546999693,2.0195999146,2.1366999149,2.0961999893,1.8063999414,1.8889000416,1.8128000498,1.8811000586,1.8595000505,1.7869999409,1.7158999443,1.8495999575,2.0123000145,1.9493999481,2.035599947,1.8789999485,1.9141999483,1.7784999609
G2,1.4716999531,0.1757999957,1.6213999987,1.5006999969,1.5284999609,1.6971999407,1.9426000118,1.7181999683,1.4588999748,1.2898999453,1.2717000246,1.4023000002,1.4197000265,1.2257000208,1.2545000315,1.3301000595,1.6265000105,1.5701999664,1.3228000402,1.2639000416,1.3424999714,1.4607000351,1.5937999487,1.4349000454,1.3873000145,1.4740999937,1.6555999517
H2,1.4041999578,0.1808000058,1.4441000223,1.4119000435,1.1943999529,1.19599998,1.4436999559,1.1863000393,1.1892000437,1.459100008,1.6798000336,1.6493999958,1.6590000391,1.6556999683,1.5881999731,1.3561999798,1.1567000151,1.1661000252,1.2598999739,1.546900034,1.5618000031,1.5735000372,1.4608999491,1.4809000492,1.3478000164,1.2585999966,1.179700017
A3,0.7487999797,0.2897000015,0.8913999796,0.5759000182,0.9947999716,0.8246999979,1.7766000032,1.1805000305,0.6837999821,0.7236999869,0.5153999925,0.5052000284,0.6840000153,0.7947999835,0.4986000061,0.5695999861,0.7433000207,0.7039999962,0.5045999885,0.6209999919,0.6909000278,0.6036999822,0.592599988,0.565599978,0.5837000012,0.6531999707,1.2374999523
