Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.163400054,0.2601000071,1.4876999855,1.4694000483,1.4430999756,1.4365999699,1.3947000504,1.3572000265,1.1714999676,1.0465999842,1.0924999714,1.2955000401,1.1075999737,0.6812999845,0.7404000163,0.8701999784,1.2342000008,1.4658999443,1.0917999744,0.7555999756,0.7318999767,1.0118999481,1.5226000547,1.079300046,1.1059000492,1.1610000134,1.331099987
B1,0.7551000118,0.2228000015,1.0750999451,0.6553999782,0.7592999935,0.8374999762,1.3645999432,0.6996999979,0.5612999797,0.503000021,0.5566999912,0.5454000235,0.5770999789,0.725300014,0.5928000212,0.6022999883,0.5375999808,0.6796000004,0.6717000008,0.6891000271,0.6546999812,0.7269999981,0.8327999711,0.825600028,1.1123000383,0.8905000091,1.2015999556
C1,1.4758000374,0.3188000023,1.8073999882,1.921200037,1.61650002,1.6227999926,1.6173000336,1.4086999893,1.5734000206,1.4287999868,1.7896000147,1.260800004,1.3324999809,1.8988000154,1.9170000553,1.4523999691,0.8828999996,0.6711999774,1.2494000196,1.6229000092,1.6095000505,1.5382000208,1.6205999851,1.5650999546,1.3156000376,0.9092000127,1.2635999918
D1,1.9757000208,0.182099998,2.3345000744,2.0964999199,1.9565000534,2.0754001141,2.2811999321,2.0834999084,1.8765000105,1.7433999777,1.824000001,2.2527999878,2.2316000462,1.7510999441,1.6894999743,1.8226000071,2.0394001007,2.0392999649,1.807700038,1.7330000401,1.8998999596,2.022300005,1.9758000374,2.0443000793,1.8102999926,1.9126000404,2.0894999504
E1,1.977699995,0.1438000053,2.0380001068,1.9930000305,2.0243999958,2.0035998821,1.9902000427,1.9528000355,1.9469000101,1.9400999546,2.0388000011,2.1810998917,2.1921999454,2.0471999645,1.8281999826,1.6434999704,1.9766000509,2.2221000195,1.8859000206,1.7864999771,1.7735999823,2.0604000092,2.1285998821,1.9119000435,1.7914999723,1.9144999981,2.171900034
F1,1.3322999477,0.2032999992,1.8085999489,1.6011999846,1.3380999565,1.3846000433,1.7669999599,1.3415000439,1.182700038,1.2548999786,1.5036000013,1.7194000483,1.4039000273,1.2810000181,1.1793999672,1.1811000109,1.2836999893,1.2869999409,1.2416000366,1.1282999516,1.0326000452,1.2379000187,1.3221999407,1.1567000151,1.1168999672,1.2407000065,1.3118000031
G1,0.3276999891,0.2633999884,0.6753000021,0.3318000138,0.2599000037,0.4049000144,1.4304000139,0.3666999936,0.2327000052,0.2195000052,0.2448000014,0.2213999927,0.2416000068,0.2058999985,0.2148000002,0.2173999995,0.2556000054,0.2703999877,0.2404000014,0.2194000036,0.1967000067,0.1985999942,0.2143000066,0.2100999951,0.2021999955,0.2442999929,0.6728000045
H1,1.0700999498,0.1476999968,1.5181000233,1.3853000402,1.0801999569,1.1722999811,1.2100000381,1.0870000124,0.9929999709,0.9975000024,1.0827000141,1.2122000456,1.1354000568,1.170699954,0.9052000046,0.9611999989,0.9880999923,0.9491000175,0.9218000174,0.9593999982,1.1078000069,0.9876000285,0.9944000244,0.9262999892,0.9642000198,0.9897999763,1.0521999598
A2,1.7735999823,0.1474999934,1.9632999897,2.0392000675,1.9194999933,1.7597999573,1.8033000231,1.6768000126,1.7955000401,1.6648999453,1.6446000338,1.6937999725,1.7860000134,1.6441999674,1.8550000191,1.8191000223,1.5415999889,1.7267999649,1.8404999971,1.834100008,1.6173000336,1.5701999664,1.7677999735,1.493999958,1.9773000479,2.0179998875,1.8889000416
B2,2.1689999104,0.127700001,2.0624001026,2.3076000214,2.377300024,2.2548999786,2.2697999477,2.1933000088,2.2497000694,2.3615000248,2.2400999069,2.1184999943,2.1621000767,2.2957999706,2.3273999691,2.0615999699,2.1192998886,1.9751000404,1.9663000107,2.1856999397,2.2892999649,2.0748999119,2.0090000629,2.0573000908,2.2091999054,2.1031000614,1.9536999464
