Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
A1,1.7357000113,0.1903000027,1.6355999708,1.638299942,1.7000000477,1.9205000401,1.3385000229,1.9227999449,1.7180999517,1.5599999428,1.5629999638,1.5640000105,1.5393999815,1.7311999798,1.717599988,1.7570999861,2.0882999897,2.1645998955,1.9636000395,1.7761000395,1.7429000139,1.6158000231,1.5658999681,1.6555999517,1.722200036,2.0162000656,1.774799943
B1,0.9577000141,0.3185000122,0.7874000072,0.8127999902,1.0539000034,1.5257999897,1.1770000458,1.4323999882,0.9613000154,0.6503999829,0.7828999758,0.7069000006,0.7894999981,0.8508999944,0.7484999895,0.6887000203,1.4200999737,1.4897999763,0.6866999865,0.7282000184,0.6486999989,0.8723000288,0.9067999721,0.6129000187,0.7329999804,1.242200017,1.6337000132
C1,1.4265999794,0.1859000027,1.5420000553,1.4543999434,1.4375,1.6080000401,1.4627000093,1.8968000412,1.5383000374,1.2257000208,1.4529999495,1.4365999699,1.2748999596,1.3653999567,1.1841000319,1.299200058,1.9047000408,1.6092000008,1.315500021,1.2964999676,1.3104000092,1.3457000256,1.3651000261,1.2459000349,1.2438999414,1.3164999485,1.5340000391
D1,1.0757000446,0.347600013,1.0980000496,0.9904999733,0.9681000113,1.5618000031,1.6480000019,1.619500041,1.0860999823,0.7832999825,0.8302999735,0.641200006,0.6403999925,0.7911999822,0.7095999718,0.9664999843,1.4774999619,1.5310000181,1.0986000299,0.755400002,0.7527999878,0.783100009,0.8381999731,0.8914999962,1.3798999786,1.4205000401,1.6294000149
E1,0.7426000237,0.2619000077,0.9883999825,0.7997000217,0.8937000036,1.0561000109,1.4225000143,1.1143000126,0.6988999844,0.5713999867,0.5781999826,0.6805999875,0.5494999886,0.4532999992,0.4984000027,0.5288000107,0.853399992,0.8582999706,0.6018999815,0.5181999803,0.4801999927,0.4957000017,0.6211000085,0.5788000226,0.6213999987,0.8274999857,1.2749999762
F1,1.2116999626,0.1517000049,1.1808999777,1.2187999487,1.3279999495,1.3507000208,1.6448999643,1.4305000305,1.2300000191,1.2501000166,1.2144999504,1.138100028,1.0319000483,1.0555000305,1.1564999819,1.2302000523,1.3573000431,1.341899991,1.0729999542,1.0760999918,1.0468000174,1.1179000139,1.1418999434,1.17900002,1.0532000065,1.032400012,1.4129999876
G1,1.5695999861,0.1416999996,1.4118000269,1.2973999977,1.3538999557,1.6758999825,1.7355999947,1.7282999754,1.5537999868,1.5800000429,1.4543999434,1.5867999792,1.7051999569,1.6383999586,1.603399992,1.5067000389,1.2432999611,1.6878999472,1.5631999969,1.4440000057,1.6286000013,1.7687000036,1.7496000528,1.6234999895,1.6036000252,1.4660999775,1.6296999454
H1,2.057199955,0.2269999981,1.8744000196,2.0446999073,2.3157000542,2.2090001106,1.9514000416,2.1071999073,2.1710999012,2.1424999237,2.0724999905,2.0085999966,2.233700037,2.3705999851,2.3638999462,2.2734000683,2.1668999195,1.6854000092,1.7115000486,2.0869998932,2.2362999916,2.1730000973,2.1786000729,2.0445001125,1.7857999802,1.5611000061,1.6622999907
A2,1.3795000315,0.1727000028,1.3258999586,1.2375999689,1.5204999447,1.0460000038,1.3911999464,1.4685000181,1.359400034,1.4580999613,1.3343000412,1.2617000341,1.2661999464,1.2296999693,1.434499979,1.4961999655,1.8532999754,1.6417000294,1.4564000368,1.266800046,1.2228000164,1.2395000458,1.2486000061,1.1691999435,1.5507999659,1.5320999622,1.4773000479
B2,1.6440999508,0.205400005,1.6567000151,1.6926000118,1.7493000031,1.9103000164,1.8201999664,1.9639999866,1.722200036,1.5688999891,1.4679000378,1.5197000504,1.4724999666,1.3386000395,1.3901000023,1.5757000446,1.9047000408,1.9169000387,1.6770000458,1.4335999489,1.2601000071,1.5038000345,1.5585999489,1.5045000315,1.662700057,1.8291000128,2.0020000935
