Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
F3,0.9315000176,0.2536000013,1.1838999987,0.9308000207,0.8568999767,1.1761000156,1.4299000502,0.8008000255,0.7870000005,1.113499999,0.9165999889,0.8968999982,0.8499000072,1.3226000071,1.3334000111,1.2209000587,0.9100999832,0.793900013,1.1734999418,0.8654000163,0.7092999816,0.5931000113,0.632799983,0.5857999921,0.5591999888,0.6338999867,1.0118999481
G3,0.9034000039,0.2310000062,1.1148999929,0.9355999827,1.0032000542,0.9488000274,1.6548999548,0.84799999,0.6786000133,0.621999979,0.6290000081,0.9338999987,0.8127999902,1.0128999949,0.9664000273,0.9671000242,1.0777000189,0.861899972,0.8894000053,0.6840000153,0.8575999737,0.7096999884,0.6906999946,0.8636999726,0.7281000018,0.7450000048,1.3485000134
H3,0.6344000101,0.1791999936,0.6735000014,0.417899996,0.5503000021,0.5590999722,1.2482999563,0.611100018,0.6082000136,0.8687000275,0.5907999873,0.4830000103,0.4532000124,0.8076999784,0.6316000223,0.6215999722,0.4717999995,0.4300999939,0.5335000157,0.5838000178,0.8967999816,0.6247000098,0.5565999746,0.7616000175,0.5796999931,0.5666000247,0.7310000062
A4,1.1037000418,0.1937000006,1.4304000139,1.2820999622,1.1735999584,1.0724999905,1.4953999519,1.0887999535,0.7900999784,1.0326999426,1.1892000437,1.2561000586,1.3597999811,0.8543000221,0.7250999808,0.8320999742,1.0375000238,1.1678999662,0.9728000164,0.9882000089,1.140599966,1.1525000334,1.1861000061,1.1145999432,0.9240999818,1.0317000151,1.2942999601
B4,0.7868000269,0.1992000043,1.225900054,0.8277000189,0.7749999762,0.9962000251,1.4199999571,0.9215000272,0.6973000169,0.6665999889,0.6230000257,0.7239000201,0.6607999802,0.6693000197,0.621999979,0.6389999986,0.7348999977,0.7919999957,0.6448000073,0.7774999738,0.7386999726,0.6783000231,0.7602000237,0.6733000278,0.6468999982,0.6812000275,1.0728000402
C4,1.0964000225,0.234799996,1.2612999678,1.1207000017,1.2430000305,1.4084999561,1.5793999434,1.1229000092,0.9581000209,1.1255999804,0.9186000228,0.9204000235,0.7817000151,0.8855000138,1.1427999735,0.9283000231,0.6450999975,0.8309999704,0.7652999759,1.2343000174,1.3889000416,1.3619999886,1.2312999964,1.0963000059,1.3143999577,0.8980000019,1.2461999655
D4,0.9013000131,0.2238000035,1.0279999971,0.9208999872,0.9445999861,0.9585999846,1.4936000109,0.8762000203,0.7066000104,0.6425999999,0.9086999893,0.753099978,0.8816000223,1.0903999805,1.1337000132,0.706700027,0.5993000269,1.0413999557,0.6780999899,0.8417999744,0.9983000159,0.8421999812,0.6953999996,0.6459000111,0.932099998,0.7875000238,1.4257999659
E4,1.5151000023,0.1709000021,1.685199976,1.7510000467,1.611700058,1.63349998,1.6009999514,1.6117999554,1.6687999964,1.315500021,1.3298000097,1.464400053,1.5024000406,1.4399000406,1.5530999899,1.6502000093,1.6740000248,1.6601999998,1.1584000587,1.2687000036,1.257799983,1.2493000031,1.5599999428,1.6067999601,1.440500021,1.4311000109,1.7519999743
F4,1.1233999729,0.1773999929,1.3481999636,1.2184000015,1.287700057,1.4294999838,1.6203999519,1.2007000446,1.3424999714,1.108700037,1.141299963,1.1395000219,1.0008000135,1.0219000578,1.0081000328,1.1313999891,1.0061000586,1.0133999586,0.9732000232,1.0128999949,1.068500042,0.907400012,1.0342999697,0.9402999878,0.9175000191,0.9653999805,1.2477999926
G4,0.7724999785,0.3285999894,1.148900032,0.6643000245,0.8313000202,1.1171000004,1.5266000032,1.0322999954,0.8281999826,0.3840000033,0.3558000028,0.5350999832,0.4072000086,0.3411000073,0.8399000168,0.7903000116,1.1625000238,1.0334999561,0.8766999841,0.6547999978,0.368900001,0.4762000144,0.7616999745,0.5479000211,0.4887999892,0.780099988,1.3590999842
